t,Ubar,Mubar,Density,Phi2,Energy,Iters
1.000000,5.830000,-0.970000,0.020051,0.019827,-0.000301,127
1.000000,5.830000,-0.960000,0.026689,0.026292,-0.000535,95
1.000000,5.830000,-0.950000,0.033305,0.032685,-0.000835,73
1.000000,5.830000,-0.940000,0.039899,0.039008,-0.001201,47
1.000000,5.830000,-0.930000,0.046465,0.045255,-0.001633,53
1.000000,5.830000,-0.920000,0.053016,0.051437,-0.002130,52
1.000000,5.830000,-0.910000,0.059544,0.057550,-0.002693,50
1.000000,5.830000,-0.900000,0.066050,0.063593,-0.003321,47
1.000000,5.830000,-0.890000,0.072534,0.069566,-0.004014,44
1.000000,5.830000,-0.880000,0.078996,0.075469,-0.004772,41
1.000000,5.830000,-0.870000,0.085436,0.081304,-0.005594,39
1.000000,5.830000,-0.860000,0.091854,0.087070,-0.006480,37
1.000000,5.830000,-0.850000,0.098250,0.092767,-0.007431,35
1.000000,5.830000,-0.840000,0.104623,0.098396,-0.008445,34
1.000000,5.830000,-0.830000,0.110974,0.103957,-0.009523,32
1.000000,5.830000,-0.820000,0.117304,0.109450,-0.010665,31
